没,0111
租,1111
客,11
欢,0001
朋,00001
少,111
书,1111
名,1
椅,00
请,11
开,001
爸,001
本,111
人,111111
能,11
吗,1
脑,11
睡,1
钟,1
苹,
块,11
雨,011
了,1
学,11111
大,01
读,011
做,11
语,000
打,111
今,
来,1110
的,1
二,011
下,11111
西,11
老,11
上,010
饭,111
关,01111
起,1111
后,111
国,
影,1
期,111
里,1
些,011
点,11
买,11
现,11
狗,111
四,01
说,11
亮,0101
见,1111
系,0001111
样,00
对,11
吃,1111
商,
菜,0111
工,11
先,1111
友,101001
气,0111000111
几,
五,1
东,11
你,1
字,11
叫,01
这,11
午,111
什,
候,
看,1111
果,11111
谁,0111
三,111
服,01100
号,00001
我,11
小,111111
星,11
是,0111
九,11
院,0
七,11
岁,111
校,1
十,11
冷,11
车,11
中,1
呢,01
桌,01
年,111
女,11
多,111111
衣,11
那,01
明,1111
觉,0
京,1
她,1
出,1111
月,11111
时,1111
习,1
哪,111
同,0
会,1111
话,111
机,11011
个,111
想,1
生,111100000
视,
高,111
猫,11
汉,0
爱,11
家,111
他,1
儿,1011
很,1
八,10111
漂,1
热,01111
茶,0110
们,11
兴,1
子,1111111
前,1
一,1111
听,1
妈,1
不,1101111
喝,011
回,
分,111
医,101
再,11111
杯,11
面,111
么,1111
六,11
怎,111
认,1
识,0
师,1
在,00
喜,1011
好,1101
北,11
都,11
昨,
住,1
钱,1
谢,
店,1
太,0111
坐,1
米,00111
电,1111
和,111
水,111
飞,111
写,10111
作,11111
有,11
姐,101
天,1111
去,111
喂,111
